churn,User_Id,State,Account_Length,Area_Code,Phone,Intl_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,__index_level_0__,event date,Agitation_Level
0,0166f628-07a6-4461-9870-fc9df0df7a5b,KS,128,415,382-4657,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0,2020-01-01 00:00:00,63
0,f4063471-7332-45c1-b572-686a23a83d32,OH,107,415,371-7191,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,1,2020-01-01 00:00:00,192
0,d519783f-f475-45a9-839d-490ec9d9623d,NJ,137,415,358-1921,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,2,2020-01-01 00:00:00,159
0,334bb7a0-ba2c-4ba2-a961-63575428b5ab,OH,84,408,375-9999,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,3,2020-01-01 00:00:00,16
0,f2274829-4ed0-4262-b971-700dded07789,OK,75,415,330-6626,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,4,2020-01-01 00:00:00,31
0,9dd5f76e-53ff-4956-ad25-f30a2f874826,AL,118,510,391-8027,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,5,2020-01-01 00:00:00,63
0,a5841537-a355-4d89-895b-835be692debe,MA,121,510,355-9993,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,6,2020-01-01 00:00:00,183
0,ae3d03e3-a957-4a3e-a905-410b12d3285f,MO,147,415,329-9001,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,7,2020-01-01 00:00:00,1
0,c7123cfe-0bbf-4a40-8a3a-289336f34465,LA,117,408,335-4719,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,8,2020-01-01 00:00:00,10
0,165d9cfd-937f-4d2b-bb51-c66a8d7077ef,WV,141,415,330-8173,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,9,2020-01-01 00:00:00,167
1,7f2b6780-4b6b-4c46-a2bb-3ad76f877dcb,IN,65,415,329-6603,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,10,2020-01-01 00:00:00,140
0,3dfeac34-43db-4f11-a1f5-6c8d07a6f5ab,RI,74,415,344-9403,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,11,2020-01-01 00:00:00,170
0,b1be775b-9935-4916-a7c0-976b22afcbef,IA,168,408,363-1107,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,12,2020-01-01 00:00:00,30
0,cc97b97f-6c14-4dca-b10d-2cd011bd4c7a,MT,95,510,394-8006,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,13,2020-01-01 00:00:00,176
0,a484b60e-9a46-4e57-b7eb-1f21fa434016,IA,62,415,366-9238,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,14,2020-01-01 00:00:00,36
1,58a7fb84-bd3a-4e9c-b5ad-0b7425cc0084,NY,161,415,351-7269,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,15,2020-01-01 00:00:00,29
0,8bed51a7-a68b-46e1-a93a-8cc6ce011e15,ID,85,408,350-8884,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,16,2020-01-01 00:00:00,173
0,0ecbfb71-c5f0-4a68-b398-af9c7f6332be,VT,93,510,386-2923,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,17,2020-01-01 00:00:00,17
0,eed5c579-204f-495a-a522-f7153a0fdec4,VA,76,510,356-2992,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,18,2020-01-01 00:00:00,115
0,978a5d1f-2451-446d-aa1d-69c76783ba2c,TX,73,415,373-2782,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,19,2020-01-01 00:00:00,29
0,8b711952-c088-4ba4-ad3d-4f4045556e3b,FL,147,415,396-5800,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,20,2020-01-01 00:00:00,73
1,90c908ca-a4c9-410c-9171-1fb6acbe9e97,CO,77,408,393-7984,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,21,2020-01-01 00:00:00,34
0,1ed5e251-2c66-4752-8f5d-c295d91b0fd2,AZ,130,415,358-1958,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,22,2020-01-01 00:00:00,159
0,05d5fadc-4ff0-470d-ad94-5da850192cbe,SC,111,415,350-2565,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,23,2020-01-01 00:00:00,74
0,7ea24add-2d5b-49a0-8cd4-2666a121a319,VA,132,510,343-4696,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,24,2020-01-01 00:00:00,160
0,4e65010f-912a-4dcc-9de8-a455248dd185,NE,174,415,331-3698,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,25,2020-01-01 00:00:00,51
0,6b5f73bb-f01d-4344-ba60-113973f4c146,WY,57,408,357-3817,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,26,2020-01-01 00:00:00,135
0,b2c1678e-1a2d-4b3d-83ba-8ae262957ad4,MT,54,408,418-6412,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,27,2020-01-01 00:00:00,126
0,6c2c1c5c-19f2-4f61-b4f0-08b7b6ca6dd3,MO,20,415,353-2630,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,28,2020-01-01 00:00:00,6
0,ede9bacb-802a-4985-b1f6-a23500b40b52,HI,49,510,410-7789,0,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,29,2020-01-01 00:00:00,38
